sample_id,model,faithfulness,accuracy,usefulness,codeswitch,fluency,format,judge_comment
S001,exaone,2,2,2,4,2,5,[dry-run] exaone 더미 채점(5항목)
S001,qwen,5,4,3,3,3,5,[dry-run] qwen 더미 채점(5항목)
S001,llama,4,4,2,4,2,5,[dry-run] llama 더미 채점(5항목)
S002,qwen,5,4,3,3,5,5,[dry-run] qwen 더미 채점(5항목)
S002,exaone,3,2,2,3,2,5,[dry-run] exaone 더미 채점(5항목)
S002,llama,2,3,3,4,3,5,[dry-run] llama 더미 채점(5항목)
S003,llama,3,2,4,3,4,5,[dry-run] llama 더미 채점(5항목)
S003,exaone,4,2,4,2,2,5,[dry-run] exaone 더미 채점(5항목)
S003,qwen,4,3,3,3,4,5,[dry-run] qwen 더미 채점(5항목)
S004,qwen,3,4,4,3,5,5,[dry-run] qwen 더미 채점(5항목)
S004,llama,4,4,2,4,4,5,[dry-run] llama 더미 채점(5항목)
S004,exaone,3,3,3,4,4,5,[dry-run] exaone 더미 채점(5항목)
S005,exaone,2,2,2,3,3,5,[dry-run] exaone 더미 채점(5항목)
S005,qwen,3,5,5,4,3,5,[dry-run] qwen 더미 채점(5항목)
S005,llama,3,4,3,2,3,5,[dry-run] llama 더미 채점(5항목)
S006,exaone,4,4,3,4,3,5,[dry-run] exaone 더미 채점(5항목)
S006,llama,2,4,3,2,2,5,[dry-run] llama 더미 채점(5항목)
S006,qwen,5,3,5,4,5,5,[dry-run] qwen 더미 채점(5항목)
S007,llama,4,3,4,2,4,5,[dry-run] llama 더미 채점(5항목)
S007,exaone,4,4,3,4,3,5,[dry-run] exaone 더미 채점(5항목)
S007,qwen,4,3,4,3,5,5,[dry-run] qwen 더미 채점(5항목)
S008,qwen,5,3,5,4,5,5,[dry-run] qwen 더미 채점(5항목)
S008,exaone,2,3,2,4,4,5,[dry-run] exaone 더미 채점(5항목)
S008,llama,3,2,2,3,3,5,[dry-run] llama 더미 채점(5항목)
S009,exaone,2,4,3,2,4,5,[dry-run] exaone 더미 채점(5항목)
S009,llama,4,3,4,2,3,5,[dry-run] llama 더미 채점(5항목)
S009,qwen,3,5,5,5,3,5,[dry-run] qwen 더미 채점(5항목)
S010,qwen,4,5,4,3,3,5,[dry-run] qwen 더미 채점(5항목)
S010,exaone,3,2,4,4,2,5,[dry-run] exaone 더미 채점(5항목)
S010,llama,2,2,4,4,2,5,[dry-run] llama 더미 채점(5항목)
S011,exaone,2,4,2,3,4,5,[dry-run] exaone 더미 채점(5항목)
S011,llama,4,2,4,4,4,5,[dry-run] llama 더미 채점(5항목)
S011,qwen,4,4,3,3,3,5,[dry-run] qwen 더미 채점(5항목)
S012,qwen,4,4,5,3,5,5,[dry-run] qwen 더미 채점(5항목)
S012,exaone,2,3,4,3,2,5,[dry-run] exaone 더미 채점(5항목)
S012,llama,2,4,3,2,3,5,[dry-run] llama 더미 채점(5항목)
S013,llama,2,3,4,2,2,5,[dry-run] llama 더미 채점(5항목)
S013,exaone,2,2,2,3,3,5,[dry-run] exaone 더미 채점(5항목)
S013,qwen,4,3,3,4,3,5,[dry-run] qwen 더미 채점(5항목)
S014,qwen,4,5,5,5,5,5,[dry-run] qwen 더미 채점(5항목)
S014,llama,2,2,3,2,2,5,[dry-run] llama 더미 채점(5항목)
S014,exaone,4,3,2,2,4,5,[dry-run] exaone 더미 채점(5항목)
S015,llama,2,2,4,2,4,5,[dry-run] llama 더미 채점(5항목)
S015,qwen,3,5,3,5,5,5,[dry-run] qwen 더미 채점(5항목)
S015,exaone,3,4,4,4,4,5,[dry-run] exaone 더미 채점(5항목)
S016,qwen,3,4,4,3,5,5,[dry-run] qwen 더미 채점(5항목)
S016,llama,3,3,2,2,3,5,[dry-run] llama 더미 채점(5항목)
S016,exaone,2,4,2,4,3,5,[dry-run] exaone 더미 채점(5항목)
S017,llama,3,3,2,3,4,5,[dry-run] llama 더미 채점(5항목)
S017,exaone,4,4,4,2,4,5,[dry-run] exaone 더미 채점(5항목)
S017,qwen,5,3,3,4,3,5,[dry-run] qwen 더미 채점(5항목)
S018,exaone,4,2,4,3,2,5,[dry-run] exaone 더미 채점(5항목)
S018,llama,4,3,3,2,2,5,[dry-run] llama 더미 채점(5항목)
S018,qwen,4,3,3,4,3,5,[dry-run] qwen 더미 채점(5항목)
S019,qwen,5,5,4,5,3,5,[dry-run] qwen 더미 채점(5항목)
S019,exaone,4,2,4,2,3,5,[dry-run] exaone 더미 채점(5항목)
S019,llama,3,2,2,3,3,5,[dry-run] llama 더미 채점(5항목)
S020,llama,4,2,3,4,3,5,[dry-run] llama 더미 채점(5항목)
S020,exaone,2,2,2,3,2,5,[dry-run] exaone 더미 채점(5항목)
S020,qwen,4,5,5,3,4,5,[dry-run] qwen 더미 채점(5항목)
S021,exaone,3,2,2,3,3,5,[dry-run] exaone 더미 채점(5항목)
S021,llama,2,2,4,2,3,5,[dry-run] llama 더미 채점(5항목)
S021,qwen,3,4,4,5,5,5,[dry-run] qwen 더미 채점(5항목)
S022,qwen,4,3,5,4,3,5,[dry-run] qwen 더미 채점(5항목)
S022,llama,3,4,3,3,4,5,[dry-run] llama 더미 채점(5항목)
S022,exaone,3,4,2,3,2,5,[dry-run] exaone 더미 채점(5항목)
S023,qwen,4,4,3,5,4,5,[dry-run] qwen 더미 채점(5항목)
S023,exaone,4,2,4,3,4,5,[dry-run] exaone 더미 채점(5항목)
S023,llama,3,3,4,3,4,5,[dry-run] llama 더미 채점(5항목)
S024,exaone,4,4,2,4,4,5,[dry-run] exaone 더미 채점(5항목)
S024,llama,4,2,3,3,2,5,[dry-run] llama 더미 채점(5항목)
S024,qwen,4,4,4,5,3,5,[dry-run] qwen 더미 채점(5항목)
S025,qwen,5,3,4,5,5,5,[dry-run] qwen 더미 채점(5항목)
S025,exaone,2,2,4,3,2,5,[dry-run] exaone 더미 채점(5항목)
S025,llama,2,2,2,3,4,5,[dry-run] llama 더미 채점(5항목)
S026,llama,4,4,3,3,3,5,[dry-run] llama 더미 채점(5항목)
S026,exaone,4,4,2,2,3,5,[dry-run] exaone 더미 채점(5항목)
S026,qwen,5,5,4,3,5,5,[dry-run] qwen 더미 채점(5항목)
S027,exaone,3,4,4,4,4,5,[dry-run] exaone 더미 채점(5항목)
S027,llama,4,4,4,3,4,5,[dry-run] llama 더미 채점(5항목)
S027,qwen,5,4,4,4,3,5,[dry-run] qwen 더미 채점(5항목)
S028,qwen,5,3,4,4,3,5,[dry-run] qwen 더미 채점(5항목)
S028,exaone,2,3,3,3,4,5,[dry-run] exaone 더미 채점(5항목)
S028,llama,2,2,3,4,2,5,[dry-run] llama 더미 채점(5항목)
S029,exaone,3,3,4,3,3,5,[dry-run] exaone 더미 채점(5항목)
S029,qwen,4,4,5,5,3,5,[dry-run] qwen 더미 채점(5항목)
S029,llama,3,2,3,3,3,5,[dry-run] llama 더미 채점(5항목)
S030,llama,3,3,3,2,3,5,[dry-run] llama 더미 채점(5항목)
S030,qwen,5,3,4,3,5,5,[dry-run] qwen 더미 채점(5항목)
S030,exaone,3,4,4,4,2,5,[dry-run] exaone 더미 채점(5항목)
