model,video_id,frame_idx,term,action_context
qwen3vl,CLIP1_normal_assembly,11,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP1_normal_assembly,17,메인보드,메인보드 위의 칩셋 또는 소켓 부위를 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,17,CPU 소켓,메인보드 위의 칩셋 또는 소켓 부위를 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,17,CPU 쿨러,메인보드 위의 칩셋 또는 소켓 부위를 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,18,메인보드,메인보드의 칩셋/컨트롤러 칩 위에 손가락으로 약간의 압력을 가하는 동작
qwen3vl,CLIP1_normal_assembly,2,컴퓨터 케이스,작업자가 테이블 아래쪽에 위치한 장치(컴퓨터 케이스)를 조작 중임
qwen3vl,CLIP1_normal_assembly,20,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP1_normal_assembly,25,메인보드,메인보드 위의 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,25,하드웨어 부품,메인보드 위의 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,26,메인보드,메인보드의 RAM 슬롯에 손가락으로 압박하여 메모리 장착 중
qwen3vl,CLIP1_normal_assembly,28,하드웨어 부품,하드웨어 부품을 장착 중인 상태
qwen3vl,CLIP1_normal_assembly,3,검은색 플라스틱 부품,"작업자 손이 테이블 위의 검은색 부품 위에 놓여 있으며, 부품을 누르거나 조작하는 동작 중"
qwen3vl,CLIP1_normal_assembly,30,메인보드,메인보드에 장착된 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,30,CPU 쿨러,메인보드에 장착된 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,31,하드디스크 드라이브,메인보드에 장착된 하드디스크 드라이브의 케이블을 연결하는 중
qwen3vl,CLIP1_normal_assembly,31,케이블,메인보드에 장착된 하드디스크 드라이브의 케이블을 연결하는 중
qwen3vl,CLIP1_normal_assembly,31,메인보드,메인보드에 장착된 하드디스크 드라이브의 케이블을 연결하는 중
qwen3vl,CLIP1_normal_assembly,32,하드웨어 장착 중인 상태,하드웨어 장착 중인 상태
qwen3vl,CLIP1_normal_assembly,33,CPU 쿨러,CPU 쿨러를 설치 중인 상태
qwen3vl,CLIP1_normal_assembly,35,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP1_normal_assembly,36,메인보드,메인보드 위의 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,36,CPU 쿨러,메인보드 위의 부품을 조작 중
qwen3vl,CLIP1_normal_assembly,37,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP1_normal_assembly,38,서버 케이스,서버 케이스를 열고 내부 부품을 조립 중
qwen3vl,CLIP1_normal_assembly,38,모더니즘 스타일의 흰색 의자,서버 케이스를 열고 내부 부품을 조립 중
qwen3vl,CLIP1_normal_assembly,38,전원 케이블,서버 케이스를 열고 내부 부품을 조립 중
qwen3vl,CLIP1_normal_assembly,38,하드웨어 부품,서버 케이스를 열고 내부 부품을 조립 중
qwen3vl,CLIP1_normal_assembly,39,마더보드,모듈(하드웨어 부품)을 마더보드에 장착 중
qwen3vl,CLIP1_normal_assembly,41,컴퓨터 케이스,GPU 카드를 케이스에 장착 중
qwen3vl,CLIP1_normal_assembly,42,케이스,GPU를 케이스에 장착 중
qwen3vl,CLIP1_normal_assembly,43,하드디스크,하드디스크를 서버 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,43,서버 케이스,하드디스크를 서버 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,44,하드디스크,하드디스크를 서버 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,44,서버 케이스,하드디스크를 서버 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,45,하드웨어 장치,하드웨어 장치를 케이스에 장착 중
qwen3vl,CLIP1_normal_assembly,45,케이스,하드웨어 장치를 케이스에 장착 중
qwen3vl,CLIP1_normal_assembly,47,컴퓨터 케이스,GPU를 케이스 내부에 장착 중
