sample_id,model,faithfulness,accuracy,usefulness,codeswitch,fluency,format,judge_comment
S001,qwen14b,5,4,4,4,5,5,"[Claude심판] 압력 우선·촉감 확인 정확 포착, 문장 정제됨. #1·#2 약간 중복"
S001,llama,4,4,4,4,3,5,"[Claude심판] 압력 우선 노하우 포착했으나 전사 그대로 복붙·중복, 정제 부족"
S002,qwen14b,5,4,4,4,5,5,[Claude심판] 우선순위 잘 포착. #3 시운전 관찰은 핵심 아닌 부수정보
S002,llama,5,4,4,4,4,5,"[Claude심판] 가이드 평행 우선·장력 미세조정 정확, 환각 없음"
S003,qwen14b,5,5,5,5,5,5,[Claude심판] 이물→떠서 사선 절단 인과까지 명확 포착
S003,llama,4,4,3,5,3,5,[Claude심판] 이물·정렬 포착하나 #3 어색한 재진술로 유용성 약화
S004,qwen14b,5,5,5,5,5,5,"[Claude심판] test shot→패턴 확인, 미확인 분사 시 흘림 인과 정확. 용어 처리 우수"
S004,llama,3,3,2,2,4,5,"[Claude심판] test shot/pattern 핵심 인과 놓침, 거리·간격 등 부수정보 위주"
S005,qwen14b,5,4,4,4,5,5,"[Claude심판] 저울 실측·display 불신·높이 영향 포착, 정제됨"
S005,llama,5,4,4,4,3,5,"[Claude심판] 실측 우선·표시값 불신 포착, 전사 복붙으로 정제 부족"
S006,qwen14b,5,5,5,4,5,5,"[Claude심판] 휴지 테스트+얼룩 위치 추적 모두 포착, 환각 없음"
S006,llama,2,2,3,3,3,5,"[Claude심판] #3 LOTO 용어집 환각 주입, 휴지 테스트 핵심 누락"
S007,qwen14b,5,5,5,5,5,5,"[Claude심판] 유격 우선·볼트 조임·tip 흔들기 정확, 다수 영어용어 정확 처리"
S007,llama,2,2,3,3,4,5,[Claude심판] #3 '볼트 풀면 좌표 재설정' 인과 역전(원문은 조임). 충실도 오답
S008,qwen14b,5,5,5,5,5,5,[Claude심판] 온도 아닌 송풍 방향 우선·한쪽 흐름 인과 정확
S008,llama,2,3,3,3,3,5,[Claude심판] #3 LOTO 환각 주입. 풍향 우선 포착은 했으나 표현 어색
S009,qwen14b,5,4,5,5,5,5,[Claude심판] 설정 불신·감각 검증(헐겁지도 빡빡하지도) 핵심 포착
S009,llama,4,3,3,4,3,5,"[Claude심판] #2 '설정 믿을 수 있지만' 뉘앙스 혼란, #3 모호한 단편"
S010,qwen14b,5,5,5,5,5,5,[Claude심판] 가루=조기마모 신호→교체 핵심 정확 포착
S010,llama,3,3,3,5,3,5,"[Claude심판] #2 '처짐이 가루를 방지' 인과 오류, 순서도 어색"
S011,qwen14b,5,4,4,4,5,5,[Claude심판] 모니터-출력 톤 차이 직접 확인 핵심 포착
S011,llama,4,3,3,3,3,5,"[Claude심판] 화면-출력 불일치 핵심 약하게, 잉크농도로 치환"
S012,qwen14b,5,4,4,5,5,5,"[Claude심판] grease·leak 정확, #3 다소 일반적 부연"
S012,llama,4,4,4,4,4,5,"[Claude심판] O링 윤활·leak 방지 포착, 용어 처리 양호"
S013,qwen14b,5,5,4,5,5,5,[Claude심판] 예열 필요·초기불량·손 온도 가늠 정확
S013,llama,5,4,4,4,4,5,[Claude심판] 예열·초기불량·손 온도 확인 포착
S014,qwen14b,5,5,5,5,5,5,"[Claude심판] 온도/소리/진동 3감각 정확 매핑, 복합 판단 핵심 포착"
S014,llama,4,4,4,4,3,5,"[Claude심판] 3요소 포착하나 #3 전사 단편, 표현 부정확"
S015,qwen14b,5,5,5,5,5,5,[Claude심판] 막힌 곳 아닌 상류 합류부 점검 인과 정확 포착
S015,llama,2,2,2,2,2,5,[Claude심판] #2·#3 모두 LOTO/lockout 환각. 상류 합류부 인과 못 살림
S016,qwen14b,5,5,4,5,5,5,[Claude심판] 먼지 우선 의심·청소 후 확인 정확. #3 약간 중복
S016,llama,3,3,3,4,3,5,[Claude심판] #1 '닦아야 인식률 떨어진다' 논리 깨짐. 핵심은 #3에만
S017,qwen14b,4,4,4,3,2,1,"[Claude심판] 내용(앞 2개) 정확하나 출력에 중국어 중복+메타설명+코드펜스 혼입, 형식 붕괴"
S017,llama,5,5,5,4,4,5,[Claude심판] 원료 수분 우선 순서 정확·깨끗하게 포착. 이 샘플은 llama 우세
S018,qwen14b,5,4,4,5,5,5,"[Claude심판] 점용접 고정·식혀가며 진행 포착, 정제됨"
S018,llama,5,4,4,5,4,5,[Claude심판] 점용접 선고정·분할냉각 포착
S019,qwen14b,5,5,4,5,5,5,[Claude심판] 찌꺼기→열전달 차단 인과까지 포착
S019,llama,5,4,4,5,4,5,[Claude심판] 온도 아닌 봉합바 찌꺼기 제거 포착
S020,qwen14b,5,5,5,5,5,5,"[Claude심판] 조명/위치 우선·threshold 최후 정확, 다수 용어 정확 처리"
S020,llama,3,3,3,3,3,5,"[Claude심판] threshold-최후·우선순위 핵심 놓침, 다수 영어용어 처리 약함, #3 trivial"
S021,qwen14b,5,5,5,5,5,5,[Claude심판] 신품도 빛 검수·purge 초기토출 폐기·이물 인과 포착
S021,llama,4,4,4,4,3,5,"[Claude심판] 신품 검수·purge 포착, 표현 어색"
S022,qwen14b,5,5,5,5,5,5,"[Claude심판] chatter→공구 길이 정확, 군더더기 없음"
S022,llama,5,4,4,4,4,5,"[Claude심판] rpm 아닌 공구 돌출 줄임 포착, #2 중복"
S023,qwen14b,5,5,5,5,5,5,[Claude심판] tip 방울 닦기·first dot 두배 인과 정확
S023,llama,3,3,3,3,3,5,[Claude심판] #1·#3 인과 표현 혼란/순환적
S024,qwen14b,5,5,5,5,5,5,[Claude심판] 단방향·롤러 들기·가장자리 덧칠 정확
S024,llama,4,3,4,5,4,5,[Claude심판] #2 롤러 드는 이유를 '롤러 보호'로 오해(실제는 두께 균일)
S025,qwen14b,5,4,5,5,5,5,"[Claude심판] 국부 마모·윤활 마름/끈적 양쪽 포착, 정제됨"
S025,llama,5,4,4,5,4,5,[Claude심판] 국부 마모 비교·윤활 감각 포착
S026,qwen14b,5,5,5,4,4,5,"[Claude심판] 흡입 테스트·오일 색·게이지 한계 모두 포착, 다소 장황·존댓말 혼입"
S026,llama,5,4,4,4,3,5,"[Claude심판] 손 흡입 테스트·오일 색 판별 포착, 전사 단편"
S027,qwen14b,5,4,4,5,5,5,"[Claude심판] 이물·모서리 흔들림 포착, #3 '볼트 먼저X' 다소 모호"
S027,llama,5,4,4,5,3,5,"[Claude심판] 이물 제거·모서리 흔들림·볼트 먼저X 포착, 전사 복붙"
S028,qwen14b,5,4,4,5,5,5,"[Claude심판] 진동 아닌 투입량/경사 정확, #3 중복"
S028,llama,4,4,4,4,3,5,"[Claude심판] 투입량/경사 조정 포착, 근거 라벨 부정확·표현 단편"
S029,qwen14b,4,4,4,5,5,5,"[Claude심판] 절단 시험·이빠짐 검수 포착, #3 '운반 주의'로 다소 빗나감"
S029,llama,5,4,4,5,4,5,[Claude심판] 절단 시험·신품 이빠짐 검수·날 방향 포착
S030,qwen14b,5,4,5,5,5,5,[Claude심판] cushion 빠짐·손 충격 확인·방치 시 파손 명확 설명
S030,llama,4,4,4,4,4,5,"[Claude심판] stroke 끝 충격·cushion 포착, 설명 다소 약함"
